lat,long,time
51.337076,-0.251006,2023-01-13 16:15:18+00:00
51.337042,-0.251008,2023-01-13 16:15:19+00:00
51.337008,-0.251008,2023-01-13 16:15:20+00:00
51.336983,-0.250994,2023-01-13 16:15:21+00:00
51.336962,-0.250962,2023-01-13 16:15:22+00:00
51.336945,-0.250917,2023-01-13 16:15:23+00:00
51.336931,-0.250877,2023-01-13 16:15:24+00:00
51.336917,-0.250831,2023-01-13 16:15:25+00:00
51.336901,-0.250786,2023-01-13 16:15:26+00:00
51.336883,-0.250741,2023-01-13 16:15:27+00:00
51.336866,-0.250709,2023-01-13 16:15:28+00:00
51.336846,-0.250676,2023-01-13 16:15:29+00:00
51.336825,-0.250644,2023-01-13 16:15:30+00:00
51.336802,-0.250614,2023-01-13 16:15:31+00:00
51.336774,-0.250581,2023-01-13 16:15:32+00:00
51.336749,-0.250558,2023-01-13 16:15:33+00:00
51.336718,-0.250537,2023-01-13 16:15:34+00:00
51.336691,-0.250513,2023-01-13 16:15:35+00:00
51.336662,-0.250482,2023-01-13 16:15:36+00:00
51.336647,-0.250453,2023-01-13 16:15:37+00:00
51.33664,-0.250402,2023-01-13 16:15:38+00:00
